Occupation,Count
5442 Furniture makers and other craft woodworkers,"28,681"
5443 Florists,"16,132"
5449 Other skilled trades n.e.c.,"36,652"
6121 Nursery nurses and assistants,"185,108"
6122 Childminders and related occupations,"94,064"
6123 Playworkers,"32,754"
6125 Teaching assistants,"324,409"
6126 Educational support assistants,"95,114"
6131 Veterinary nurses,"12,513"
6132 Pest control officers,"4,919"
6139 Animal care services occupations n.e.c.,"44,555"
6141 Nursing auxiliaries and assistants,"209,439"
6142 Ambulance staff (excluding paramedics),"18,882"
6143 Dental nurses,"43,016"
6144 Houseparents and residential wardens,"39,663"
6145 Care workers and home carers,"688,603"
6146 Senior care workers,"54,494"
6147 Care escorts,"15,167"
"6148 Undertakers, mortuary and crematorium assistants","15,595"
6211 Sports and leisure assistants,"55,984"
6212 Travel agents,"45,163"
6214 Air travel assistants,"40,632"
6215 Rail travel assistants,"16,035"
6219 Leisure and travel service occupations n.e.c.,"18,359"
6221 Hairdressers and barbers,"195,550"
6222 Beauticians and related occupations,"66,600"
6231 Housekeepers and related occupations,"60,258"
6232 Caretakers,"67,198"
6240 Cleaning and housekeeping managers and supervisors,"58,182"
7111 Sales and retail assistants,"1,271,540"
7112 Retail cashiers and check-out operators,"147,585"
7113 Telephone salespersons,"32,308"
7114 Pharmacy and other dispensing assistants,"69,797"
7115 Vehicle and parts salespersons and advisers,"38,572"
7121 Collector salespersons and credit agents,"11,423"
"7122 Debt, rent and other cash collectors","27,976"
7123 Roundspersons and van salespersons,"10,702"
7124 Market and street traders and assistants,"15,542"
7125 Merchandisers and window dressers,"30,012"
7129 Sales related occupations n.e.c.,"37,289"
7130 Sales supervisors,"135,019"
7211 Call and contact centre occupations,"47,901"
7213 Telephonists,"17,512"
7214 Communication operators,"30,919"
7215 Market research interviewers,"14,029"
7219 Customer service occupations n.e.c.,"245,953"
7220 Customer service managers and supervisors,"66,182"
"8111 Food, drink and tobacco process operatives","154,397"
8112 Glass and ceramics process operatives,"7,952"
8113 Textile process operatives,"16,017"
8114 Chemical and related process operatives,"34,343"
8115 Rubber process operatives,"6,156"
8116 Plastics process operatives,"34,477"
8117 Metal making and treating process operatives,"11,582"
8118 Electroplaters,"4,750"
8119 Process operatives n.e.c.,"6,455"
8121 Paper and wood machine operatives,"29,026"
8122 Coal mine operatives,"3,899"
8123 Quarry workers and related operatives,"8,727"
8124 Energy plant operatives,"6,657"
8125 Metal working machine operatives,"146,742"
8126 Water and sewerage plant operatives,"11,952"
